,Flow,max_interpacket_interval,min_interpacket_interval,avg_interpacket_interval,sum_interpacket_interval,max_packet_length,min_packet_length,avg_packet_length,sum_packet_length,mode_packet_length,label
28,215.162.102.30:47520<-->129.113.117.174:443,45.01689386367798,0.0,9.761195284979683,136.65673398971558,93,54,61.66666666666666,925,54,normal
29,35.228.166.77:47483<-->74.201.147.108:443,45.0135989189148,0.0,9.757379072053093,136.6033070087433,100,54,62.6,939,54,normal
30,70.1.61.51:47604<-->186.61.20.117:443,45.01545000076294,0.0,9.73274030004229,136.25836420059204,100,54,62.6,939,54,normal
31,225.61.89.181:51196<-->26.254.14.177:443,0.0121347904205322,0.0,0.0033219456672668,0.0132877826690673,78,54,58.8,294,54,normal
32,206.222.80.151:47614<-->241.161.70.189:443,45.01198720932007,0.0,9.721689428601946,136.10365200042725,100,54,62.6,939,54,normal
33,236.168.78.4:47439<-->219.107.240.18:443,45.013113021850586,0.0,9.720360789980209,136.0850510597229,93,54,61.66666666666666,925,54,normal
34,151.242.90.161:51331<-->127.189.178.123:443,44.974945068359375,0.0,2.611717649128126,60.0695059299469,1274,54,318.2916666666667,7639,54,normal
35,95.115.25.47:51272<-->36.73.254.72:443,0.0263299942016601,0.0,0.0069057345390319,0.0276229381561279,78,54,58.8,294,54,normal
36,112.81.94.40:51273<-->166.112.20.243:443,0.0265660285949707,0.0,0.0068820118904113,0.0275280475616455,78,54,58.8,294,54,normal
37,242.227.118.184:51340<-->174.18.47.200:443,29.88656997680664,0.0,1.504037654399872,30.08075308799744,1494,54,462.7142857142857,9717,54,normal
38,98.83.15.140:51341<-->116.12.227.252:443,29.8984899520874,0.0,1.504173541069031,30.08347082138061,1494,54,462.7142857142857,9717,54,normal
39,208.129.36.154:44162<-->16.55.115.205:443,45.01644992828369,0.0,22.01637553073922,4315.209604024887,78,54,60.45685279187817,11910,55,normal
40,30.127.225.224:43520<-->244.108.235.190:443,45.009673833847046,0.0,11.055181384086609,88.44145107269287,78,54,59.55555555555556,536,54,normal
41,226.44.182.198:48183<-->45.123.110.81:443,45.01474380493164,0.0,10.85930516322454,130.31166195869446,100,54,62.92307692307692,818,54,normal
42,76.227.249.77:443<-->166.41.141.71:48220,45.01122188568115,0.0,10.786871433258057,129.44245719909668,100,54,62.92307692307692,818,54,normal
43,15.39.77.196:48199<-->8.107.237.65:443,45.01472687721253,0.0,10.697481751441956,128.36978101730347,93,54,61.84615384615385,804,54,normal
44,190.140.219.109:43941<-->197.92.139.53:443,1379.1519918441772,0.0,0.5429382531292726,5707.366916894913,1514,54,187.19528203177015,1967984,54,normal
45,57.236.191.228:51360<-->57.188.214.64:443,4.632807016372681,0.0,0.8646197599523208,14.698535919189451,571,54,84.05555555555556,1513,54,normal
46,30.55.148.193:51365<-->17.111.153.5:443,4.688524961471558,0.0,0.8687395909253288,14.76857304573059,571,54,84.05555555555556,1513,54,normal
47,54.49.10.59:60808<-->88.74.217.182:443,0.0287280082702636,0.0,0.0049343109130859,0.1085548400878906,1292,66,526.6086956521739,12112,1292,normal
48,9.118.87.77:51368<-->100.98.53.246:443,31.567813873291016,0.0,2.152231819489423,36.58794093132019,1514,54,312.44444444444446,5624,54,normal
49,246.154.174.149:51369<-->193.45.162.12:443,4.333487033843994,0.0,0.8459951176362879,14.381916999816896,571,54,84.05555555555556,1513,54,normal
50,245.151.66.94:51370<-->185.42.52.131:443,3.5826239585876465,0.0,0.47210906346639,7.08163595199585,571,54,87.8125,1405,54,normal
51,219.248.62.199:443<-->44.240.233.114:44886,45.01606488227844,0.0,21.908213424682614,2519.444543838501,78,54,60.48275862068966,7016,55,normal
52,154.147.209.32:51371<-->141.109.96.126:443,4.484918117523193,0.0,0.8555445951573989,14.54425811767578,571,54,84.05555555555556,1513,54,normal
53,137.51.151.104:51372<-->74.52.129.170:443,4.669300079345703,0.0,0.8655396489536061,14.714174032211304,571,54,84.05555555555556,1513,54,normal
54,224.226.172.138:51373<-->192.0.196.47:443,4.290649890899658,0.0,0.8448357021107393,14.362206935882568,571,54,84.05555555555556,1513,54,normal
55,93.192.158.13:51374<-->219.161.25.73:443,4.505576133728027,0.0,0.8574378770940444,14.576443910598757,571,54,84.05555555555556,1513,54,normal
56,126.172.185.181:51375<-->251.29.220.233:443,19.987528800964355,0.0,2.508958876132965,20.07167100906372,449,54,117.44444444444444,1057,54,normal
57,31.92.138.44:443<-->231.62.179.140:44891,45.01501488685608,0.0,21.878571964346843,2516.035775899887,78,54,60.48275862068966,7016,55,normal
58,17.232.170.56:43475<-->165.109.122.190:443,1368.6110038757324,0.0,2.0630746328152854,5696.149061203003,1294,54,409.71288921071687,1131627,54,normal
59,138.145.6.246:51376<-->44.239.145.210:443,4.501878023147583,0.0,0.8567718197317684,14.565120935440063,571,54,84.05555555555556,1513,54,normal
60,201.178.95.251:51377<-->14.199.96.65:443,4.3409059047698975,0.0,0.8476838785059312,14.41062593460083,571,54,84.05555555555556,1513,54,normal
61,61.2.204.41:51378<-->211.148.53.193:443,4.671725034713745,0.0,0.8662442319533404,14.726151943206789,571,54,84.05555555555556,1513,54,normal
62,5.179.215.207:51379<-->176.86.26.91:443,4.680588006973267,0.0,0.86662958650028,14.73270297050476,571,54,84.05555555555556,1513,54,normal
63,30.61.210.170:51380<-->57.100.106.200:443,4.284571886062622,0.0,0.8437027650720933,14.342947006225586,571,54,84.05555555555556,1513,54,normal
64,93.14.26.43:51381<-->75.77.69.131:443,4.448112964630127,0.0,0.8545053425957175,14.526590824127195,571,54,84.05555555555556,1513,54,normal
65,53.55.187.97:51382<-->53.121.172.28:443,4.198446989059448,0.0,0.8381849457235897,14.249144077301024,571,54,84.05555555555556,1513,54,normal
66,170.110.191.132:51383<-->180.81.171.210:443,4.506538152694702,0.0,0.8567207701065961,14.564253091812134,571,54,84.05555555555556,1513,54,normal
67,186.144.45.17:51384<-->32.162.55.220:443,4.555289030075073,0.0,0.8594778285307043,14.611123085021973,571,54,84.05555555555556,1513,54,normal
68,240.89.208.236:51385<-->95.43.173.120:443,3.708180904388428,0.0,0.4921809991200765,7.3827149868011475,571,54,87.8125,1405,54,normal
69,86.123.51.115:51386<-->50.19.240.176:443,4.919002056121826,0.0,0.8806723566616282,14.97143006324768,571,54,84.05555555555556,1513,54,normal
70,103.28.158.103:51387<-->228.165.14.207:443,4.553086996078491,0.0,0.8597061774309944,14.615005016326904,571,54,84.05555555555556,1513,54,normal
71,9.254.23.127:51271<-->7.231.158.201:443,45.01583909988403,0.0009779930114746,15.193215757608414,121.54572606086732,66,54,58.333333333333336,525,55,normal
72,242.155.172.168:443<-->102.188.60.105:43521,44.97061610221863,0.0022230148315429,14.836863442124992,4302.690398216248,136,54,77.50515463917526,22554,54,normal
73,24.78.207.175:48219<-->112.118.1.107:443,45.01118397712708,0.0,9.89994591474533,118.79935097694396,100,54,62.92307692307692,818,54,normal
74,231.48.166.98:47433<-->70.57.136.223:443,45.01542115211487,0.0,21.310748479137683,1555.6846389770508,85,54,60.567567567567565,4482,55,normal
75,1.253.111.189:443<-->243.48.110.2:44342,45.00478792190552,0.0,9.03479816363408,117.45237612724304,100,54,62.285714285714285,872,54,normal
76,93.63.5.176:45077<-->231.131.120.159:443,39.99845790863037,0.0,5.655761512015995,4298.378749132156,1514,54,180.13140604467804,137080,54,normal
77,221.193.69.184:443<-->57.189.78.89:44353,45.01170492172241,0.0,4.842357575893402,116.21658182144164,1464,54,199.92,4998,54,normal
78,79.169.248.143:44303<-->194.39.175.115:443,45.01054906845093,0.0,3.386376850745257,115.13681292533876,1464,54,257.4,9009,54,normal
79,190.168.133.210:48742<-->135.242.55.231:443,45.01372194290161,0.0,5.389659821987152,215.58639287948608,1490,54,209.609756097561,8594,54,normal
80,97.103.90.95:5353<-->152.115.245.218:5353,1467.8582367897034,0.0,28.23336887230395,10418.113113880156,391,82,204.15675675675675,75538,376,normal
81,150.173.70.188:5353<-->103.67.83.208:5353,1467.8679399490356,0.0,31.285583287745983,10418.099234819412,421,82,229.75449101796409,76738,406,normal
82,247.239.250.195:47429<-->128.213.110.25:443,45.00942397117615,0.0,7.481894334157308,112.22841501235962,1360,54,205.625,3290,54,normal
83,127.173.87.200:51141<-->117.48.64.210:443,20.199140071868896,0.0,2.529681384563446,20.23745107650757,85,54,61.0,549,54,normal
84,5.197.184.139:47562<-->253.27.195.120:443,45.0103440284729,0.0,9.232930998007456,110.79517197608948,100,54,62.92307692307692,818,54,normal
85,120.80.147.162:47467<-->179.5.235.170:443,45.00543689727783,0.0,9.148976743221285,109.7877209186554,100,54,62.92307692307692,818,54,normal
86,49.172.231.47:47613<-->186.231.153.210:443,45.015615940094,0.0,9.125294347604116,109.5035321712494,100,54,62.92307692307692,818,54,normal
87,134.167.50.38:443<-->141.205.26.111:44867,44.96437692642212,0.0,2.7782020004172074,105.57167601585388,776,54,180.25641025641025,7030,54,normal
88,73.191.144.91:443<-->49.120.171.117:51286,14.97797989845276,0.0,2.9983933925628663,14.991966962814333,93,54,66.66666666666667,400,54,normal
89,186.27.31.62:443<-->105.83.140.213:44961,44.96854496002197,0.0,0.5512796192572861,104.19184803962708,1464,54,933.7473684210528,177412,1464,normal
90,63.81.211.142:51388<-->228.154.159.210:443,29.900274991989136,0.0,1.5048617482185365,30.097234964370728,1494,54,462.7142857142857,9717,54,normal
91,165.159.139.232:51389<-->144.81.126.191:443,29.89065003395081,0.0,1.504094696044922,30.08189392089844,1494,54,462.7142857142857,9717,54,normal
92,130.225.178.246:59710<-->19.195.192.198:443,0.075308084487915,0.0,0.0134753733873367,0.2156059741973877,1292,63,318.29411764705884,5411,73,normal
93,4.178.250.236:50570<-->100.21.215.33:443,1.9461708068847656,0.0,0.0786512356538039,2.0449321269989014,1292,64,262.48148148148147,7087,73,normal
94,31.177.210.170:51398<-->33.175.69.243:53,0.017003059387207,0.0,0.0052109956741333,0.0416879653930664,150,54,70.88888888888889,638,54,normal
95,206.0.141.77:51399<-->175.9.143.157:53,0.0186758041381835,0.0,0.0057524310217963,0.0517718791961669,147,54,68.9,689,54,normal
96,253.58.207.92:51402<-->32.51.162.31:53,0.0167078971862792,0.0,0.0048645138740539,0.0389161109924316,105,54,66.22222222222223,596,54,normal
97,185.145.150.5:51403<-->87.73.45.180:53,0.0130219459533691,0.0,0.0048787593841552,0.0390300750732421,138,54,69.88888888888889,629,54,normal
98,250.20.250.166:51404<-->240.78.217.159:53,0.0108039379119873,0.0,0.0037673711776733,0.0301389694213867,115,54,68.44444444444444,616,54,normal
99,132.104.1.107:51405<-->207.248.173.107:53,0.013603925704956,0.0001270771026611,0.0051242411136627,0.0409939289093017,157,54,73.11111111111111,658,54,normal
100,148.230.176.194:51406<-->235.43.26.216:53,0.0143189430236816,0.0,0.0052407681941986,0.0419261455535888,140,54,70.44444444444444,634,54,normal
101,34.144.139.249:51407<-->130.199.27.223:53,0.0139720439910888,0.0,0.0051961243152618,0.0415689945220947,150,54,71.55555555555556,644,54,normal
102,174.108.70.94:51408<-->236.179.242.241:443,44.96023082733154,0.0,0.0234137790003839,81.2458131313324,1464,54,1321.8850475367328,4588263,1464,normal
103,250.68.177.93:51409<-->119.211.224.177:443,45.001397132873535,0.0,0.1904675183416921,60.18773579597473,1274,54,999.9652996845426,316989,1274,normal
104,71.224.140.70:51418<-->151.18.18.178:443,45.00235986709595,0.0,2.860114722024827,60.06240916252136,1514,54,257.22727272727275,5659,54,normal
105,39.219.113.193:51427<-->211.28.73.141:443,44.98470592498779,0.0,2.7291143265637485,60.04051518440247,1274,54,287.17391304347825,6605,54,normal
106,183.215.138.255:51438<-->120.10.174.214:443,44.99461102485657,0.0,2.610669571420421,60.04540014266968,1274,54,318.2916666666667,7639,54,normal
107,106.37.117.53:51445<-->25.53.55.197:443,4.426605939865112,0.0,0.8520272339091581,14.484462976455688,571,54,84.05555555555556,1513,54,normal
108,155.21.206.10:51446<-->202.122.35.123:443,4.894761085510254,0.0,0.8791834186105167,14.946118116378784,571,54,84.05555555555556,1513,54,normal
109,57.67.253.19:51455<-->181.156.238.222:443,29.898333072662357,0.0,1.5040848016738892,30.081696033477783,1494,54,462.7142857142857,9717,54,normal
110,77.30.142.54:51456<-->243.80.201.46:443,29.900909185409542,0.0,1.5043314099311829,30.086628198623657,1494,54,462.7142857142857,9717,54,normal
111,103.194.251.90:63278<-->126.113.77.68:443,10.372115850448608,0.0,0.2528653192520141,37.92979788780213,1292,63,124.1523178807947,18747,74,normal
112,197.114.143.251:51457<-->137.88.237.17:443,4.604537010192871,0.0,0.8634760520037483,14.67909288406372,571,54,84.05555555555556,1513,54,normal
113,237.55.128.176:51459<-->219.210.36.218:53,0.0184030532836914,0.0,0.0067000091075897,0.0536000728607177,131,54,68.44444444444444,616,54,normal
114,9.168.120.83:51460<-->62.42.82.92:53,0.019144058227539,0.0,0.0066703855991363,0.0533630847930908,144,54,69.88888888888889,629,54,normal
115,14.6.60.180:51461<-->134.76.209.71:443,45.01416301727295,0.0,0.3294030652855927,69.83344984054565,1464,54,576.0093896713615,122690,54,normal
116,226.100.62.27:51462<-->42.152.78.175:443,0.0119409561157226,0.0002501010894775,0.0060955286026,0.0121910572052001,66,54,62.0,186,66,normal
117,62.243.134.14:51465<-->222.85.134.45:53,0.0523889064788818,0.0,0.0146228671073913,0.1169829368591308,111,54,67.55555555555556,608,54,normal
118,39.114.206.130:51466<-->101.7.227.204:53,0.0518560409545898,0.0,0.0145293772220611,0.1162350177764892,144,54,71.22222222222223,641,54,normal
119,248.164.60.14:443<-->170.185.195.178:51468,45.01678514480591,0.0,1.7397670984268188,69.59068393707275,1274,54,301.0,12341,54,normal
120,179.64.129.58:443<-->37.124.171.11:51469,0.0179431438446044,0.0,0.0056168482853816,0.0730190277099609,1274,54,440.7857142857143,6171,54,normal
121,29.38.204.188:51478<-->96.6.117.146:443,18.24506115913391,0.0,1.368953354218427,23.272207021713257,1514,54,312.55555555555554,5626,54,normal
122,52.68.161.208:51487<-->189.17.52.177:443,4.3447630405426025,0.0,0.8494878235985251,14.441293001174929,571,54,84.05555555555556,1513,54,normal
123,248.98.201.159:51492<-->53.141.170.149:443,3.840471029281616,0.0,0.6314176917076111,10.102683067321776,571,54,85.82352941176471,1459,54,normal
124,149.20.136.42:51504<-->151.4.59.232:443,0.0179150104522705,0.0,0.0028497419859233,0.0541450977325439,1274,54,305.4,6108,54,normal
125,125.177.65.176:51505<-->215.49.223.144:443,44.95578503608704,0.0,1.038697250187397,66.47662401199341,1274,54,464.2769230769231,30178,54,normal
126,65.94.101.35:51508<-->168.227.204.192:443,60.011677980422974,0.0,4.206113831202189,252.36682987213132,625,54,126.0,7686,54,normal
127,14.245.106.215:443<-->192.104.150.175:51513,44.96274185180664,0.0,1.5410766968360314,60.101991176605225,1274,54,245.575,9823,54,normal
128,136.141.216.227:51514<-->168.82.192.185:443,20.680725812911987,0.0,2.599689394235611,20.797515153884888,385,54,112.11111111111111,1009,54,normal
129,186.183.85.128:51515<-->71.225.253.82:443,58.95579409599304,0.0,3.179672391326339,171.70230913162231,1514,54,229.2,12606,54,normal
130,216.43.55.148:51516<-->111.102.68.54:53,0.02164888381958,0.0,0.0066452622413635,0.0531620979309082,112,54,67.77777777777777,610,54,normal
131,198.244.155.154:51517<-->251.44.197.253:53,0.0299279689788818,0.0003449916839599,0.0077213644981384,0.0617709159851074,154,54,72.44444444444444,652,54,normal
132,44.30.75.250:51518<-->130.71.160.156:53,0.0165469646453857,0.0,0.0050635602739122,0.0455720424652099,111,54,66.2,662,54,normal
133,15.146.85.25:51519<-->129.81.108.181:53,0.0119209289550781,0.0001401901245117,0.0037383735179901,0.0299069881439209,144,54,71.22222222222223,641,54,normal
134,14.6.115.14:443<-->165.31.138.197:51520,45.00437092781067,0.0,1.4843219780340426,60.85720109939575,1514,54,265.2142857142857,11139,54,normal
135,14.33.130.104:49666<-->239.154.32.82:443,0.0856978893280029,0.0,0.0103832483291625,0.1661319732666015,1292,63,409.11764705882354,6955,73,normal
136,176.119.94.39:62971<-->4.205.97.33:443,0.1170229911804199,0.0,0.0112913021674522,0.2935738563537597,1292,65,439.3703703703704,11863,1292,normal
137,90.177.2.232:51533<-->159.155.213.80:443,3.842674970626831,0.0,0.6321734338998795,10.114774942398071,571,54,85.82352941176471,1459,54,normal
138,97.240.95.184:51534<-->214.244.204.72:443,4.7039289474487305,0.0,0.86905977305244,14.77401614189148,571,54,84.05555555555556,1513,54,normal
139,136.240.197.187:51535<-->213.83.238.111:443,29.88337206840515,0.0,1.503819704055786,30.076394081115723,1494,54,462.7142857142857,9717,54,normal
140,28.118.168.141:51536<-->244.95.237.34:443,29.904568195343018,0.0,1.5040186524391177,30.08037304878235,1494,54,462.7142857142857,9717,54,normal
141,175.173.43.144:5353<-->249.194.17.17:5353,1396.597661972046,0.0005569458007812,17.477067547745087,10363.901055812836,240,70,147.75757575757575,87768,171,normal
142,64.93.177.242:51537<-->147.232.16.94:53,0.0140600204467773,0.0,0.0045157372951507,0.036125898361206,115,54,68.44444444444444,616,54,normal
143,101.24.55.26:51538<-->5.159.251.218:53,0.0155320167541503,0.0,0.0051612555980682,0.0412900447845459,148,54,72.11111111111111,649,54,normal
144,235.159.93.248:51539<-->157.127.182.145:443,4.949770212173462,0.0,0.8838335906758028,15.025171041488647,571,54,84.05555555555556,1513,54,normal
145,45.214.99.230:51540<-->196.183.220.87:443,4.8152360916137695,0.0,0.8755121792063993,14.883707046508787,571,54,84.05555555555556,1513,54,normal
146,139.155.16.102:49559<-->110.236.150.230:443,239.8937201499939,0.0,69.13822111536246,4217.431488037109,225,54,138.69354838709677,8599,54,normal
147,220.96.178.132:51551<-->241.69.64.208:443,45.0079140663147,0.0,2.7305084466934204,60.07118582725525,1514,54,312.39130434782606,7185,54,normal
148,174.166.106.80:51560<-->74.81.19.198:443,44.986163854599,0.0,2.7289360003037886,60.03659200668335,1274,54,287.2608695652174,6607,54,normal
149,142.103.147.5:51569<-->224.38.51.94:443,44.9973030090332,0.0,2.610131211902784,60.03301787376404,1274,54,318.2916666666667,7639,54,normal
150,221.150.227.176:51578<-->154.64.219.171:443,29.901378870010376,0.0,1.50404714345932,30.0809428691864,1494,54,462.7142857142857,9717,54,normal
151,75.27.126.151:51579<-->199.171.102.11:443,29.89784598350525,0.0,1.5040307998657227,30.080615997314453,1494,54,462.7142857142857,9717,54,normal
152,8.95.206.124:51580<-->220.17.102.32:53,0.0205581188201904,0.0,0.0068581402301788,0.0548651218414306,184,54,74.88888888888889,674,54,normal
153,29.181.235.31:51581<-->195.177.205.189:53,0.0972011089324951,0.0,0.0225413375430636,0.2028720378875732,139,54,68.3,683,54,normal
154,93.38.218.98:51582<-->249.137.102.185:443,0.0154190063476562,0.0,0.0049224180333754,0.0836811065673828,1274,54,345.27777777777777,6215,54,normal
155,191.58.191.123:51583<-->250.32.182.25:443,10.553694009780884,0.0,0.4095051563703097,10.647134065628052,1464,54,475.55555555555554,12840,54,normal
156,228.27.48.206:51584<-->13.144.217.159:53,0.0165150165557861,0.0,0.0052839815616607,0.0422718524932861,131,54,68.44444444444444,616,54,normal
157,50.22.93.107:51585<-->252.209.71.145:53,0.0110790729522705,0.0,0.0037431120872497,0.029944896697998,144,54,69.88888888888889,629,54,normal
158,219.219.140.88:51586<-->110.127.175.105:53,0.0164711475372314,0.0,0.0055342614650726,0.044274091720581,111,54,67.55555555555556,608,54,normal
159,5.83.216.110:51587<-->188.159.87.218:53,0.0232300758361816,0.0,0.0050053331587049,0.0450479984283447,144,54,69.5,695,54,normal
160,83.246.32.143:443<-->69.82.77.127:51588,8.69383192062378,0.0,0.2571293694632394,8.999527931213379,1464,54,197.13888888888889,7097,54,normal
161,9.203.114.202:51589<-->240.156.186.221:53,0.0153689384460449,0.0003149509429931,0.0058693885803222,0.0469551086425781,97,54,64.44444444444444,580,54,normal
162,122.146.8.186:51590<-->107.158.161.18:53,0.0123329162597656,0.0,0.0041093826293945,0.0328750610351562,137,54,68.88888888888889,620,54,normal
163,109.255.83.72:51591<-->87.251.3.122:53,0.0133819580078125,0.000140905380249,0.0049580037593841,0.0396640300750732,105,54,66.22222222222223,596,54,normal
164,217.207.231.90:51592<-->19.232.172.201:53,0.0129339694976806,0.0,0.0047246515750885,0.037797212600708,145,54,70.66666666666667,636,54,normal
165,208.225.12.49:51593<-->90.135.90.132:53,0.0118699073791503,0.0,0.0041448771953582,0.0331590175628662,109,54,67.11111111111111,604,54,normal
166,141.152.10.73:51594<-->31.8.152.217:53,0.0148658752441406,0.0,0.005468875169754,0.0437510013580322,149,54,71.55555555555556,644,54,normal
167,146.251.130.110:51595<-->65.152.189.60:443,8.76199984550476,0.0,0.4478590488433838,8.957180976867676,1274,54,318.5238095238095,6689,54,normal
168,86.31.160.186:51596<-->5.221.241.78:443,8.792768955230713,0.0,0.4968326091766357,8.942986965179443,1274,54,319.63157894736844,6073,54,normal
169,33.11.71.12:51629<-->76.183.66.161:443,4.920068025588989,0.0,0.4293268173933029,6.869229078292847,1514,54,327.7647058823529,5572,54,normal
170,182.229.161.63:65304<-->176.128.88.95:443,0.0463418960571289,0.0,0.0052467641376313,0.1101820468902587,1292,66,475.1818181818182,10454,1292,normal
171,228.30.24.235:51630<-->5.213.45.90:443,4.0895960330963135,0.0,0.831830291187062,14.141114950180054,571,54,84.05555555555556,1513,54,normal
172,199.155.162.51:51631<-->248.230.216.42:443,4.198796033859253,0.0,0.8395782358506146,14.27283000946045,571,54,84.05555555555556,1513,54,normal
173,151.237.214.78:51632<-->181.23.202.87:443,4.181258916854858,0.0,0.8386367629556095,14.25682497024536,571,54,84.05555555555556,1513,54,normal
174,154.145.196.248:51633<-->7.66.184.68:443,3.778027057647705,0.0,0.6290458142757416,10.064733028411863,571,54,85.82352941176471,1459,54,normal
175,50.240.32.85:51634<-->217.149.186.209:443,4.930186033248901,0.0,0.8816829428953283,14.98861002922058,571,54,84.05555555555556,1513,54,normal
176,77.234.159.9:51635<-->85.6.239.25:443,3.692697048187256,0.0,0.6288596242666245,10.061753988265991,571,54,85.82352941176471,1459,54,normal
177,189.197.198.139:51636<-->172.71.67.116:443,4.794135093688965,0.0,0.8739712939542883,14.8575119972229,571,54,84.05555555555556,1513,54,normal
178,97.68.247.56:51637<-->177.21.226.149:443,4.985921144485474,0.0,0.8880397712483126,15.096676111221312,571,54,84.05555555555556,1513,54,normal
179,244.166.139.147:51638<-->66.161.150.82:443,4.444005012512207,0.0,0.8533389428082634,14.50676202774048,571,54,84.05555555555556,1513,54,normal
180,252.245.144.79:51639<-->131.131.220.173:443,4.319642066955566,0.0,0.8452668891233557,14.369537115097046,571,54,84.05555555555556,1513,54,normal
181,142.44.133.232:51640<-->3.5.183.50:443,4.501548051834106,0.0,0.8560818784377154,14.553391933441162,571,54,84.05555555555556,1513,54,normal
182,168.25.214.103:51641<-->202.129.196.20:443,4.2925989627838135,0.0,0.8444491274216596,14.355635166168211,571,54,84.05555555555556,1513,54,normal
183,205.19.99.206:51642<-->125.34.38.74:443,4.307049036026001,0.0,0.844415173811071,14.355057954788208,571,54,84.05555555555556,1513,54,normal
184,119.29.31.197:51643<-->87.26.119.23:443,4.329737901687622,0.0,0.8485458177678725,14.425278902053831,571,54,84.05555555555556,1513,54,normal
185,194.139.207.19:51644<-->98.250.155.243:53,0.0150158405303955,0.0,0.00518399477005,0.0414719581604003,103,54,65.77777777777777,592,54,normal
